satellite,x_km,y_km,z_km
ARIANE_1_DEB_038,-4605.493,3895.5862,-3111.2463
ARIANE_1_DEB_039,4295.2627,-1719.8334,4872.7773
ARIANE_1_DEB_040,-3139.348,-491.51984,-5681.5312
ARIANE_1_DEB_041,-7186.5728,11799.639,651.0016
ARIANE_1_DEB_042,8266.608,-4608.1426,7803.1924
ARIANE_1_DEB_043,-3702.0977,-3980.4534,-8007.069
ARIANE_1_DEB_044,4774.7266,-433.66266,6811.4023
ARIANE_1_DEB_045,7434.536,-1910.3441,9177.622
ARIANE_1_DEB_046,-6902.8525,7904.4253,-2571.0347
ARIANE_1_DEB___001,-1645.9779,-2827.1477,-5797.7427
ARIANE_1_R-B_001,-7720.6484,2665.5488,-7809.18
ARIANE_1_R-B_002,-572.8363,-3610.4556,-5059.781
ARIANE_2_DEB_001,-8810.103,5587.3086,-7104.9097
ARIANE_2_DEB_002,-2088.6914,4699.4434,1530.0707
ARIANE_2_DEB_003,-5247.731,13116.411,3637.0566
ARIANE_2_DEB_004,-8546.966,3645.9343,-8621.113
ARIANE_2_DEB_005,-9061.443,5381.853,-7822.05
ARIANE_2_DEB_006,-127.36831,8004.678,7672.092
ARIANE_2_DEB_007,3568.8403,-11143.132,-3171.8987
ARIANE_2_DEB_008,6565.813,-12152.826,-40.424465
ARIANE_2_DEB_009,-3265.6782,-1046.2185,-5507.756
ARIANE_2_DEB_010,-6460.476,8883.362,-1074.9719
ARIANE_2_DEB_011,-5832.779,-2696.7131,-9049.733
ARIANE_2_DEB_012,10282.19,-10968.421,5113.807
ARIANE_2_DEB_013,8523.188,-2265.4717,10331.433
ARIANE_2_DEB_014,-3765.5203,12321.816,5346.211
ARIANE_2_DEB_015,-4294.721,-4803.4746,-8809.645
ARIANE_2_DEB_016,7672.3545,-813.50586,10621.062
ARIANE_2_DEB_017,9097.85,-4120.896,9283.464
ARIANE_2_DEB_018,1759.5504,-9678.474,-4732.175
ARIANE_2_DEB_019,3723.82,-10928.027,-2970.5103
ARIANE_2_DEB_020,-6043.098,12131.66,1693.0769
ARIANE_2_DEB_021,-9191.688,6912.1753,-6051.515
ARIANE_2_DEB_022,-7260.0645,12389.725,327.06387
ARIANE_2_DEB_023,9529.516,-8000.2524,6456.785
ARIANE_2_DEB_024,-4254.4126,11064.712,3636.058
ARIANE_2_DEB_025,-3980.7795,12970.469,5399.9956
ARIANE_2_DEB_026,7182.9053,-10931.4795,1042.615
ARIANE_2_DEB_027,-190.37363,-8788.807,-6864.4307
ARIANE_2_DEB_028,-9226.823,7278.761,-6110.1543
ARIANE_2_DEB_029,6787.0083,-2898.71,7236.9863
ARIANE_2_DEB_030,-5235.6733,13512.013,3855.3198
ARIANE_2_DEB_031,9528.512,-8830.38,5839.9067
ARIANE_2_DEB_032,-1611.574,8647.622,5972.916
ARIANE_2_DEB_033,-5540.3027,3644.7043,-4373.9844
ARIANE_2_DEB_034,-6355.049,12256.62,1356.7446
ARIANE_2_DEB_035,-9172.271,7128.4424,-5893.9927
ARIANE_2_DEB_036,-6112.4185,-2119.9521,-9461.085
ARIANE_2_DEB_037,-5515.2754,13519.092,3463.604
ARIANE_2_DEB_038,8888.695,-3105.9866,10009.739
ARIANE_2_DEB_039,7711.7285,-12386.328,1153.4619
ARIANE_2_DEB_040,-8444.003,3434.0654,-8369.234
ARIANE_2_DEB_041,10659.329,-9646.045,6529.0103
ARIANE_2_DEB_042,7887.257,-11722.867,1814.5988
ARIANE_2_DEB_043,3599.4546,5606.9204,11083.153
ARIANE_2_DEB_044,-7757.59,4254.7036,-6943.1353
ARIANE_2_DEB_045,-8292.005,11123.854,-1764.2648
ARIANE_2_DEB_046,-2332.7861,8772.82,4963.539
